Dream,Original,Generated,BLEU,Perplexity,BERTScore,ROUGE-L
Breathtaking landscape,"Aspiration for an ideal or a safe, serene place.",To see a breathtaking landscape in your dream represents your desire to be more peaceful and peaceful. You are seeking to escape from the stresses of everyday life.,0.006716472052354862,1.22703417676447,0.8605936169624329,0.05405405405405406
Bridge,Transition between life stages or different emotions.,To see a bridge in your dream symbolizes your ability to connect with others. You are able to communicate with yourself and others in varying ways.,0.0,1.4231831144723286,0.8337516784667969,0.0
Full moon,Connection to natural forces and emotional balance.,To see a full moon in your dream represents your desire to be more open and open. You are also looking for reassurance and support.,0.009009113474307318,1.1455367064802093,0.8424912095069885,0.125
Bright light,"Enlightenment, new insight, or growing awareness.",To see or use a bright light in your dream represents your desire to be more creative and creative. You are looking for realism and dynamism.,0.0072658577559704465,1.2264905209546966,0.8487467169761658,0.0625
Physical fight,Internal conflict between opposing drives.,To dream that you are fighting a physical fight indicates that your feelings are being abused and/or manipulated. You are feeling deprived of your own self-esteem.,0.0,1.290063785232186,0.8340666890144348,0.0
Dark forest,Feeling lost or in search of oneself.,To see a dark forest in your dream symbolizes your desire to be more peaceful and peaceful. You are seeking to escape from the stresses of life.,0.008301095462822575,1.2171371390847785,0.8455174565315247,0.11764705882352941
Driving a car,Sense of control or lack of control over life direction.,To dream that you are driving a car indicates that your subconscious is trying to control your emotions. You are trying too hard to keep up with the times.,0.006471824245088331,1.1502506250442002,0.8170773983001709,0.05128205128205129
Childbirth,New beginnings or significant creation.,To dream that you are giving birth to a child indicates that your subconscious is trying to manipulate your emotions and emotions. You are tryingto manipulate yourself into something that is not working out for you.,0.0,1.1549068438701369,0.8207165598869324,0.0
Rain,Emotional cleansing and renewal.,To dream that you are raining indicates that your subconscious is trying to get you to a place where you can be more peaceful and calm. You are trying not to be too aggressive or too defensive.,0.005011724662824517,1.144279157231415,0.8351220488548279,0.04878048780487805
Open door,New opportunity or exploration of the unknown.,To see an open door in your dream symbolizes your desire to be more open and open. You are looking for a place to relax and relax.,0.0,1.3634008948525644,0.8421659469604492,0.0
Volcano eruption,Suppressed emotions suddenly breaking out.,To see a volcano eruption in your dream symbolizes your desire to be able to escape from your daily life. You are looking for reassurance and security.,0.0,1.4062520835805483,0.8251360654830933,0.0
Weapons,Confrontation or emotional self-defense.,To see or use weapons in your dream symbolizes your ability to control your emotions. You are able to manipulate your feelings and emotions in a way that is not reflected in the reality.,0.005474870710453651,1.204331621333582,0.8445011377334595,0.10256410256410256
Theft,Fear of being deprived of rights or possessions.,To dream that you are being stolen indicates that your subconscious is trying to manipulate you. You are tryingto manipulate your emotions and emotions.,0.007913247271422612,1.1853705435617308,0.819318413734436,0.0625
Mirror,Concern with self-image and identity.,To see a mirror in your dream represents your desire to see or see something. You are looking for reassurance and security.,0.008687475782716616,1.2570042457290915,0.8410527110099792,0.07142857142857144
High-speed train,Pressure to cope with fast-paced life events.,To see a high-speed train in your dream symbolizes your desire to be more agile and agile. You are also looking for reassurance and security.,0.007575731225158965,1.1466877949657115,0.8427921533584595,0.058823529411764705
Ancient book,Search for knowledge or insight.,To see an ancient book in your dream symbolizes your innermost desires and desires. You are seeking to find your own inner peace.,0.0,1.1783448205081744,0.8339107632637024,0.0
Public nudity,Fear of exposure or vulnerability.,To see public nudity in your dream symbolizes your sexuality and sexual desire. You are expressing your desire to be nude.,0.0,1.1711914793852487,0.8416089415550232,0.0
Being lost,Confusion and lack of direction.,To dream that you are lost indicates that your feelings of loss are being interpreted as a negative or negative experience. You are feeling lost and/or unresolved.,0.006980361417366381,1.3127597589025204,0.8347802758216858,0.06060606060606061
Shining stars,High aspirations or hope.,To see shining stars in your dream symbolize your inner strength and inner power. You are able to express your feelings and emotions in a way that is not reflected in the reality.,0.0,1.1650152340678965,0.8461067080497742,0.0
Tall ladder,Aspiration to rise in status or achieve great success.,To see a ladder in your dream symbolizes your ability to control your emotions. You are able to move forward and take control of your life.,0.008640609739997756,1.2230934573457364,0.845396876335144,0.1142857142857143
Wings,Desire to escape or break free from constraints.,To see wings in your dream symbolize your ability to move forward. You are able to express your feelings and feelings in a way that is not possible in real life.,0.006032401726201458,1.16511268210898,0.839260995388031,0.05128205128205128
Beautiful music,Search for inner harmony and peace.,To dream that you are listening to beautiful music indicates that your subconscious is trying to make you feel more at ease. You are tryingto make yourself more comfortable.,0.0,1.1766121993282745,0.8234290480613708,0.0
Party,Need for social life and a sense of belonging.,To dream that you are at a party indicates that your feelings of being deprived of your own self-esteem. You are feeling repressed and unrestrained.,0.009970222994544455,1.2276368053997686,0.8302873373031616,0.1142857142857143
Foreign city,Seeking new experiences or a change in reality.,To see a foreign city in your dream symbolizes your desire to escape from your own life. You are looking for reassurance and security.,0.009410489957951634,1.2702124586378882,0.8569073677062988,0.125
