Dream,Original,Masked Version,Perplexity,BERTScore,ROUGE-L
Locked gate,Feeling of being blocked in personal or professional life.,Feeling of [MASK] blocked in personal or professional life.,223.44363403320312,0.9404065608978271,0.8888888888888888
Pregnancy,"Creativity, new ideas, or projects coming to fruition.","Creativity, new [MASK] or projects coming to fruition.",83.67066955566406,0.9576004147529602,0.875
Unexpected sexual encounter,Expression of repressed sexual desires or a need for closer intimacy.,Expression of [MASK] sexual desires or a need for closer intimacy.,83.73692321777344,0.9545228481292725,0.9090909090909091
Breathtaking landscape,"Aspiration for an ideal or a safe, serene place.","Aspiration for [MASK] ideal or a safe, serene place.",50.38071060180664,0.9618270993232727,0.8888888888888888
Bridge,Transition between life stages or different emotions.,Transition between [MASK] stages or different emotions.,461.2300109863281,0.9533694386482239,0.8571428571428571
Full moon,Connection to natural forces and emotional balance.,Connection to [MASK] forces and emotional balance.,213.0284881591797,0.9511309862136841,0.8571428571428571
Bright light,"Enlightenment, new insight, or growing awareness.","Enlightenment, new [MASK] or growing awareness.",277.94976806640625,0.9404774904251099,0.8333333333333334
Physical fight,Internal conflict between opposing drives.,Internal conflict between opposing drives.,856.2158203125,1.0,1.0
Dark forest,Feeling lost or in search of oneself.,Feeling lost [MASK] in search of oneself.,175.20396423339844,0.9326816201210022,0.8571428571428571
Driving a car,Sense of control or lack of control over life direction.,Sense of [MASK] or lack of control over life direction.,62.42426300048828,0.9367073774337769,0.9
Childbirth,New beginnings or significant creation.,New beginnings or significant creation.,168.794677734375,1.0,1.0
Rain,Emotional cleansing and renewal.,Emotional cleansing and renewal.,489.9902648925781,1.0,1.0
Open door,New opportunity or exploration of the unknown.,New opportunity [MASK] exploration of the unknown.,194.01422119140625,0.9249696731567383,0.8571428571428571
Volcano eruption,Suppressed emotions suddenly breaking out.,Suppressed emotions suddenly breaking out.,237.07264709472656,1.0000001192092896,1.0
Weapons,Confrontation or emotional self-defense.,Confrontation or emotional self-defense.,118.88252258300781,1.0,1.0
Theft,Fear of being deprived of rights or possessions.,Fear of [MASK] deprived of rights or possessions.,245.21673583984375,0.9314906597137451,0.875
Mirror,Concern with self-image and identity.,Concern with self-image and identity.,51.14596176147461,1.0,1.0
High-speed train,Pressure to cope with fast-paced life events.,Pressure to [MASK] with fast-paced life events.,130.1004180908203,0.9271571636199951,0.875
Ancient book,Search for knowledge or insight.,Search for knowledge or insight.,165.48341369628906,1.0,1.0
Public nudity,Fear of exposure or vulnerability.,Fear of exposure or vulnerability.,326.87115478515625,1.0,1.0
Being lost,Confusion and lack of direction.,Confusion and lack of direction.,526.6051025390625,1.0,1.0
Shining stars,High aspirations or hope.,High aspirations or hope.,563.8204345703125,1.0,1.0
Tall ladder,Aspiration to rise in status or achieve great success.,Aspiration to [MASK] in status or achieve great success.,121.13868713378906,0.9395783543586731,0.8888888888888888
Wings,Desire to escape or break free from constraints.,Desire to [MASK] or break free from constraints.,132.51608276367188,0.8970813751220703,0.875
Beautiful music,Search for inner harmony and peace.,Search for [MASK] harmony and peace.,313.7678527832031,0.9408242702484131,0.8333333333333334
Party,Need for social life and a sense of belonging.,Need for [MASK] life and a sense of belonging.,80.70653533935547,0.94844651222229,0.8888888888888888
Foreign city,Seeking new experiences or a change in reality.,Seeking new [MASK] or a change in reality.,814.9046630859375,0.9433836936950684,0.875
