Dream,Original,Generated,BLEU,Perplexity,BERTScore,ROUGE-L
Entering an unfamiliar house,Exploration of unconscious aspects of the self.,"To dream that you are entering a new home indicates your need to be more open and receptive toward others. You may also want someone else in the room who is familiar with what's going on around them. Alternatively, it suggests some sort of emotional turmoil or conflict which has been brewing for years",0.00402899484413971,5.871676355118013,0.8171278238296509,0.032258064516129024
Meeting with an authority figure,Processing of conflicts with authority figures in real life.,"To dream that you are meeting someone who is a power or influence suggests your need to be more direct and confrontational. You may also want the person in question's approval of what they do, especially if it means being criticized for not doing enough on their own initiative! Alternatively the dreaming",0.004188635776841715,7.647223538556496,0.8344457745552063,0.03225806451612903
Aggressive animal,Representation of primitive drives or repressed anger.,"To see an aggressive or violent dog in your dream represents aggression and/or hostility toward others. You may be expressing some anger at someone for not being more ""aggressive"" enough to the point of violence, especially if that person is a bully who you are trying desperately hard against yourself! Alternatively it refers",0.00410726430147258,6.440930884044918,0.8246523141860962,0.06557377049180328
Drowning,Feeling emotionally overwhelmed or unable to cope with problems.,"To dream that you are drowning indicates your need to escape from the stresses of life. You may be feeling overwhelmed and/or exhausted by some situation or circumstance in which there is no easy solution for yourself. Alternatively, it suggests a lacklustre state where something has been done wrong but still needs correcting",0.004545435141870279,6.818508280781118,0.8444643616676331,0.09523809523809525
Returning to a childhood home,Search for security and roots.,"To dream that you are returning from your youth represents the transition of life. You have been given new opportunities and responsibilities in some area of yourself or society, especially if it is at an old school house where there was no one around for many years before they were exposed to modern technology/technology",0.00402899484413971,7.987483157409958,0.8305736780166626,0.03333333333333333
Small child,"Wish for purity and innocence, or a need for protection and support.","To see a small baby in your dream represents the need to be more independent and free. You are feeling overwhelmed by responsibilities, limitations and obstacles that you have been keeping hidden from yourself for too long. Alternatively it may mean an emotional breakdown or separation of some sort which is causing anxiety about what will happen next",0.004926907641268069,5.85488137296386,0.8327703475952148,0.08571428571428572
Climbing stairs,Personal or professional advancement.,"To see or climb a staircase in your dream represents the upward mobility of an individual. You are able to move forward and overcome obstacles without compromising yourself physically, emotionally etc. Alternatively it may represent some sort ""climber"" that is going on inside you which will eventually lead into something more serious than",0.0034537838276078457,6.156685010509016,0.8281649947166443,0.03508771929824561
Locked gate,Feeling of being blocked in personal or professional life.,"To see a locked door in your dream indicates that you are being held back by some situation or circumstance. You need to be more open and honest about what is going on around you. Alternatively, the dreaming may indicate an emotional breakdown which will leave little time for reflection before it can happen again! Alternatively",0.004295119260690564,4.294665411098839,0.8362927436828613,0.06153846153846154
Pregnancy,"Creativity, new ideas, or projects coming to fruition.","To dream that you are pregnant indicates your need to be more assertive and decisive in some situation. You may also want a little bit of self-confidence, confidence and/or control over others. Alternatively the dreaming represents an emotional breakdown or separation from family life which is indicative for infertility issues as well.[",0.004188635776841715,6.465562839037968,0.8263869285583496,0.03225806451612903
Unexpected sexual encounter,Expression of repressed sexual desires or a need for closer intimacy.,"To dream that you are having an unwanted sex act suggests a lack of self-confidence and/or insecurity. You may be feeling insecure about your sexuality or relationship with others. Alternatively, the dreaming indicates some sort ""dream"" where someone is trying to get at something in their waking life which they",0.004826741258911654,5.9654306898266505,0.8417840600013733,0.09523809523809523
Breathtaking landscape,"Aspiration for an ideal or a safe, serene place.","To dream that you are in a breathtaking or beautiful place symbolizes your ability to see the world through. You can also be seen as someone who is ""seeing"" things clearly and with clarity, especially if it's on an island of sorts where there may not be much light at all for some reason",0.00479130933496022,6.545373161860347,0.8244580626487732,0.0625
Bridge,Transition between life stages or different emotions.,"To see a bridge in your dream symbolizes the journey you are taking. You need to be more direct and decisive about what is going on around you, especially if it's something that has been bothering or hurtful for some time. Alternatively the metaphor may also refer back to an old relationship where someone else",0.003324612889947367,4.906884100457864,0.8198724985122681,0.031746031746031744
Full moon,Connection to natural forces and emotional balance.,"To dream that you are full of energy indicates your need to recharge and rejuvenate. You may be feeling overwhelmed or exhausted by some situation, especially if it is a short one like waking up in the middle of an evening out with friends/family members who have been away for too long! Alternatively the",0.00402899484413971,5.70995065952335,0.8230043649673462,0.06451612903225805
Bright light,"Enlightenment, new insight, or growing awareness.","To see a bright lamp in your dream symbolizes the power of life. It also represents wisdom, grace and compassion for others who are struggling with their own issues or problems at hand (see ""Bright Light""). Alternatively it may be symbolic that you need to let go of some old habits which have been holding",0.003324612889947367,5.881210968021466,0.8373559713363647,0.032786885245901634
Physical fight,Internal conflict between opposing drives.,"To dream that you are fighting in your waking life represents a physical confrontation. You may be feeling physically hurt or overwhelmed by some situation and need to take action on it yourself instead of confronting the issue directly from within. Alternatively, dreaming about an actual battle indicates feelings which have been suppressed for too long due not",0.0,7.204679100546983,0.8240595459938049,0.0
Dark forest,Feeling lost or in search of oneself.,"To see a dark woodland in your dream represents the darkness of childhood. You are experiencing some sort or other aspect of life that is not normally seen and/or experienced by others, especially if it has been hidden from you for too long. Alternatively to seeing an old wooded area as being haunted suggests something",0.004375436627586616,6.158898359035956,0.8227577209472656,0.06349206349206349
Driving a car,Sense of control or lack of control over life direction.,"To dream that you are driving your own vehicle indicates an emotional or physical breakdown. You need to take responsibility for the consequences of actions and decisions taken in order not let others get ahead by yourself, especially if it is on public roads where there may be some sort ""car"" involved! Alternatively the",0.00402899484413971,8.85017180222482,0.828148603439331,0.0625
Childbirth,New beginnings or significant creation.,"To dream that you are having a child indicates your need to be more open and receptive toward new experiences. You may also want the baby's attention, warmth and comfort in some situation or relationship before it is too late for them!  Alternatively there is something about being born with which makes this happen so quickly",0.003263584888402175,7.48359799306468,0.8174741268157959,0.06451612903225806
Rain,Emotional cleansing and renewal.,"To dream that you are in rain signifies your ability to adapt and survive on a daily basis. You may be able, at times, to overcome obstacles or setbacks with ease. Alternatively the dreaming indicates an inability for someone else (such as yourself) nor is it indicative of some situation which has been resolved by others",0.003263584888402175,7.185047251600129,0.8334130644798279,0.03333333333333333
Open door,New opportunity or exploration of the unknown.,"To see or open a doorway in your dream indicates that you are trying to escape from some situation. You need to be more direct and confrontational with others about issues of personal significance, such as the death penalty for drug use etc., which may also symbolize fearlessness/indifference toward something important (",0.004635487482440636,5.744863390458866,0.8366672396659851,0.10169491525423728
Volcano eruption,Suppressed emotions suddenly breaking out.,"To see a volcano erupting in your dream indicates that you are experiencing some sort of emotional turmoil or spiritual cleansing. You may be feeling overwhelmed and/or emotionally drained from the situation at hand, especially if it is an actual volcanic event occurring on Earth's surface. Alternatively to seeing a lava flow flowing through",0.0,5.185757106887811,0.8232668042182922,0.03278688524590164
Weapons,Confrontation or emotional self-defense.,"To see weapons in your dream symbolize power, strength and/or protection. You are able to take advantage of situations or situation that you have been holding back on for too long due a lack thereof? Alternatively the weapon may be symbolic representation representing some aspect (e., gun) which is being held against it",0.0034537838276078457,8.120311989920884,0.8246562480926514,0.03389830508474576
Theft,Fear of being deprived of rights or possessions.,"To dream that you are stealing something indicates your need to rid yourself of some aspect of the situation. You may be trying too hard to hide or conceal a problem from others. Alternatively, it suggests an inability in keeping up with what is going on around ya and how things should go for everyone else. If someone",0.004143018973828455,5.561475463915973,0.8084760904312134,0.09090909090909091
Mirror,Concern with self-image and identity.,"To see a mirror in your dream indicates that you are looking for some sort of reassurance or guidance. You need to be more open and honest about what is going on around you, especially if it's something negative like the current situation with someone else. Alternatively there may also have been an aspect of yourself which",0.0038111203719291505,4.2590124624487835,0.8295361399650574,0.03125
High-speed train,Pressure to cope with fast-paced life events.,"To see a high speed railway in your dream represents the journey you are taking. You need to get out and explore yourself more thoroughly before making any decisions about where or how to go forward with life. Alternatively, it may be symbolic of some aspect that is lacking from modern society which has been neglected",0.00388107836970323,5.142602913666608,0.8341863751411438,0.09375
Ancient book,Search for knowledge or insight.,"To see or read ancient books in your dream symbolize knowledge and wisdom. You are able to learn from past experiences, especially those that you have not yet fully experienced yourself with. Alternatively the dreams may be a metaphor for something new coming up on earth which is also symbolic of some aspect of life's journey",0.004295119260690564,5.566263198088353,0.843768298625946,0.03225806451612903
Public nudity,Fear of exposure or vulnerability.,"To dream that you are nude represents your desire to be seen as a woman. You may also feel ashamed of yourself for being naked in public and/or expressing some sexual desires or fantasies about others, especially if the image is too dramatic! Alternatively it indicates an inability on part one's own body to express",0.00395365330335517,8.372576671206193,0.8264714479446411,0.06451612903225806
Being lost,Confusion and lack of direction.,"To dream that you are being forgotten suggests a lack of self-esteem and/or feelings for which there is no escape. You may be feeling neglected or overlooked in some situation, especially if the person who was missing your attention has been found out about it! Alternatively to dreaming of someone losing their mind indicates",0.0071646785744866204,5.514460095188334,0.8373315334320068,0.06557377049180328
Shining stars,High aspirations or hope.,"To see a star in your dream symbolizes the power of light. It also represents life's beauty and gracefulness, especially if it is white or blue sky-blue color scheme (see above). Alternatively you may be reflecting on some aspect that has been lost to time; for example, an old house",0.00366753025392797,5.885322671326319,0.8372753262519836,0.03571428571428572
Tall ladder,Aspiration to rise in status or achieve great success.,"To see a tall ladders in your dream symbolize the power of intuition and insight. You are able to pinpoint where you need to go or how far ahead on some task that is currently being done by others, especially if it involves something new! Alternatively there may be an aspect of yourself which has been",0.004295119260690564,6.515825740719684,0.8290526866912842,0.09230769230769231
Wings,Desire to escape or break free from constraints.,"To see a winged bird in your dream represents the power of intuition and insight. You are able to pinpoint where you need to go next or how far ahead on some task that is currently being done by others, especially if it involves wings! Alternatively the dreaming creature may be expressing an instinctive desire to",0.00388107836970323,6.339015161017004,0.8211949467658997,0.0625
Beautiful music,Search for inner harmony and peace.,"To dream that you are in a beautiful concert represents your ability to express yourself and how well it relates with others. You may be able ""see"" what is going on around ya, especially if the crowd has been there for some time. Alternatively the dreams represent feelings of inadequacy or lack thereof which",0.00402899484413971,7.178524291877657,0.8247892260551453,0.03333333333333333
Party,Need for social life and a sense of belonging.,"To dream that you are at a party suggests your need to be more open and honest about some aspect of yourself. You may also want someone else in the room who is receptive to what they have been saying or feeling on their own terms. Alternatively, it indicates an emotional connection between two people with whom there has",0.0040709389705793145,5.934943810790971,0.8192670941352844,0.08823529411764705
Foreign city,Seeking new experiences or a change in reality.,"To dream that you are in a foreign country suggests your need to escape from the confines of reality. You may be feeling overwhelmed by some situation or circumstance and feel unable to express yourself clearly enough for others, especially if there is no one around who can see through it all! Alternatively this means an emotional breakdown",0.004451963616250483,6.502458079145146,0.8421862125396729,0.0606060606060606
